104,0.047,0.498,0.207,0.585,4
130,0.294,0.367,0.559,0.505,2
101,0.789,0.250,0.342,0.429,1
195,0.302,0.106,0.724,0.399,3
117,0.021,0.722,0.682,0.150,1
198,0.222,0.867,0.878,0.606,2
139,0.793,0.069,0.680,0.302,3
147,0.193,0.658,0.132,0.209,3
125,0.208,0.580,0.204,0.096,1
142,0.914,0.910,0.296,0.801,2
184,0.160,0.385,0.873,0.607,4
129,0.385,0.648,0.398,0.840,1
177,0.448,0.749,0.665,0.952,1
143,0.701,0.802,0.931,0.685,3
119,0.493,0.654,0.521,0.458,3
193,0.433,0.711,0.612,0.896,1
165,0.259,0.382,0.331,0.687,1
151,0.205,0.623,0.726,0.578,3
186,0.465,0.979,0.029,0.957,2
181,0.570,0.095,0.775,0.401,1
179,0.493,0.043,0.632,0.292,3
180,0.987,0.436,0.349,0.316,4
188,0.098,0.599,0.327,0.667,4
136,0.983,0.571,0.907,0.370,4
200,0.789,0.301,0.472,0.222,4
197,0.153,0.135,0.251,0.992,1
187,0.023,0.660,0.250,0.012,3
159,0.373,0.093,0.213,0.835,3
156,0.193,0.555,0.920,0.169,4
145,0.146,0.266,0.108,0.817,1
178,0.060,0.924,0.420,0.834,2
111,0.294,0.467,0.506,0.340,3
140,0.016,0.255,0.018,0.543,4
183,0.045,0.298,0.284,0.134,3
108,0.484,0.768,0.763,0.274,4
149,0.974,0.429,0.107,0.890,1
120,0.367,0.446,0.638,0.691,4
194,0.691,0.640,0.854,0.713,2
150,0.340,0.402,0.691,0.042,2
103,0.868,0.129,0.125,0.508,3
135,0.885,0.789,0.507,0.131,3
172,0.798,0.945,0.803,0.058,4
152,0.463,0.781,0.172,0.607,4
124,0.035,0.484,0.897,0.054,4
134,0.129,0.088,0.234,0.135,2
116,0.335,0.913,0.021,0.353,4
106,0.568,0.998,0.712,0.169,2
166,0.133,0.696,0.322,0.505,2
168,0.918,0.783,0.582,0.581,4
110,0.131,0.166,0.343,0.998,2
167,0.787,0.535,0.341,0.661,3
112,0.964,0.712,0.924,0.181,4
133,0.528,0.777,0.810,0.135,1
157,0.983,0.029,0.059,0.325,1
169,0.652,0.587,0.647,0.924,1
144,0.374,0.839,0.056,0.593,4
126,0.606,0.352,0.278,0.100,2
141,0.033,0.827,0.677,0.162,1
105,0.216,0.611,0.164,0.373,1
155,0.063,0.046,0.803,0.974,3
123,0.211,0.120,0.464,0.545,3
164,0.023,0.231,0.324,0.007,4
114,0.088,0.266,0.062,0.350,2
138,0.673,0.770,0.019,0.161,2
121,0.533,0.191,0.584,0.620,1
196,0.703,0.051,0.067,0.397,4
174,0.830,0.068,0.963,0.618,2
160,0.873,0.384,0.443,0.920,4
148,0.913,0.149,0.751,0.945,4
192,0.285,0.892,0.152,0.419,4
173,0.328,0.135,0.744,0.459,1
127,0.007,0.798,0.557,0.373,3
182,0.162,0.739,0.020,0.762,2
161,0.662,0.868,0.006,0.067,1
137,0.220,0.306,0.211,0.514,1
113,0.325,0.088,0.553,0.892,1
189,0.693,0.102,0.069,0.853,1
170,0.505,0.310,0.259,0.467,2
132,0.508,0.947,0.574,0.715,4
107,0.263,0.996,0.504,0.800,3
128,0.245,0.195,0.065,0.777,4
158,0.430,0.750,0.366,0.634,2
115,0.263,0.565,0.151,0.746,3
190,0.840,0.088,0.616,0.885,2
191,0.385,0.899,0.019,0.544,3
131,0.487,0.025,0.050,0.521,3
163,0.962,0.466,0.310,0.156,3
146,0.037,0.126,0.977,0.829,2
122,0.456,0.645,0.969,0.718,2
176,0.089,0.861,0.103,0.741,4
175,0.601,0.305,0.280,0.520,3
199,0.767,0.896,0.150,0.053,3
109,0.020,0.107,0.702,0.330,1
153,0.048,0.279,0.426,0.084,1
102,0.311,0.025,0.463,0.015,2
162,0.273,0.917,0.662,0.335,2
171,0.775,0.568,0.622,0.797,3
185,0.135,0.540,0.560,0.194,1
118,0.887,0.027,0.149,0.182,2
154,0.404,0.404,0.912,0.596,2
