189,0.639,0.461,0.257,0.806,3
168,0.367,0.397,0.040,0.072,1
161,0.704,0.119,0.209,0.379,2
123,0.881,0.004,0.357,0.573,2
135,0.507,0.629,0.325,0.049,2
118,0.514,0.777,0.875,0.419,3
140,0.290,0.519,0.738,0.463,3
152,0.727,0.274,0.402,0.397,2
142,0.224,0.525,0.884,0.730,3
121,0.002,0.235,0.877,0.166,2
156,0.874,0.171,0.623,0.499,3
154,0.674,0.023,0.849,0.825,3
144,0.188,0.370,0.968,0.696,3
117,0.588,0.870,0.570,0.078,3
162,0.142,0.059,0.205,0.898,2
130,0.119,0.347,0.367,0.002,1
193,0.767,0.349,0.415,0.760,3
137,0.508,0.299,0.308,0.626,2
178,0.255,0.274,0.441,0.381,2
127,0.617,0.027,0.602,0.253,2
172,0.002,0.707,0.981,0.582,3
105,0.747,0.131,0.518,0.168,2
195,0.246,0.968,0.150,0.864,3
185,0.706,0.720,0.866,0.959,4
139,0.397,0.202,0.425,0.795,2
160,0.157,0.979,0.407,0.707,3
165,0.581,0.772,0.713,0.935,3
153,0.550,0.724,0.711,0.501,3
103,0.310,0.262,0.146,0.326,2
143,0.154,0.211,0.779,0.224,2
157,0.572,0.047,0.347,0.499,2
184,0.002,0.107,0.003,0.781,1
131,0.351,0.722,0.574,0.429,3
125,0.546,0.085,0.742,0.060,2
187,0.032,0.489,0.475,0.462,2
112,0.481,0.635,0.967,0.228,3
159,0.283,0.882,0.578,0.011,2
199,0.541,0.838,0.198,0.291,2
196,0.767,0.522,0.310,0.407,3
150,0.926,0.308,0.578,0.081,2
190,0.708,0.231,0.685,0.104,2
151,0.518,0.358,0.304,0.705,2
198,0.797,0.898,0.794,0.496,3
194,0.656,0.756,0.495,0.687,3
134,0.456,0.481,0.028,0.074,2
188,0.619,0.798,0.373,0.445,3
170,0.306,0.655,0.555,0.356,2
173,0.480,0.694,0.518,0.178,2
163,0.052,0.471,0.910,0.925,3
180,0.431,0.131,0.324,0.910,2
109,0.250,0.513,0.551,0.629,2
174,0.986,0.326,0.159,0.163,2
147,0.152,0.735,0.144,0.441,2
111,0.904,0.353,0.125,0.130,2
175,0.712,0.149,0.494,0.079,2
200,0.885,0.678,0.745,0.652,3
120,0.634,0.515,0.838,0.401,3
164,0.641,0.535,0.426,0.215,2
171,0.127,0.467,0.282,0.767,2
146,0.950,0.949,0.311,0.348,3
177,0.780,0.599,0.718,0.086,3
116,0.691,0.076,0.319,0.940,3
104,0.224,0.129,0.512,0.838,2
182,0.168,0.247,0.973,0.878,3
102,0.379,0.975,0.093,0.578,3
167,0.176,0.386,0.989,0.332,2
129,0.675,0.531,0.708,0.562,3
108,0.633,0.397,0.710,0.767,3
119,0.131,0.998,0.548,0.611,3
106,0.711,0.679,0.257,0.233,2
197,0.982,0.566,0.214,0.691,3
186,0.993,0.308,0.341,0.733,3
176,0.546,0.533,0.150,0.062,2
107,0.309,0.266,0.585,0.891,3
148,0.255,0.881,0.903,0.611,3
114,0.165,0.652,0.709,0.473,2
110,0.489,0.643,0.208,0.798,3
179,0.739,0.723,0.149,0.741,3
191,0.699,0.642,0.045,0.700,3
181,0.824,0.841,0.089,0.811,3
133,0.174,0.837,0.004,0.036,2
145,0.669,0.277,0.323,0.315,2
128,0.541,0.441,0.652,0.542,3
126,0.861,0.618,0.478,0.991,3
166,0.697,0.293,0.807,0.979,3
158,0.355,0.924,0.579,0.872,3
101,0.134,0.852,0.802,0.783,3
183,0.395,0.468,0.956,0.940,3
149,0.624,0.402,0.423,0.847,3
122,0.886,0.587,0.638,0.804,3
113,0.765,0.486,0.396,0.478,3
192,0.748,0.048,0.482,0.455,2
155,0.757,0.992,0.267,0.013,3
141,0.357,0.742,0.498,0.811,3
115,0.917,0.295,0.365,0.552,3
136,0.071,0.977,0.591,0.745,3
132,0.398,0.089,0.095,0.943,2
124,0.079,0.675,0.515,0.666,2
138,0.646,0.674,0.627,0.995,3
169,0.516,0.248,0.450,0.656,2
