103,4.7,3.2,1.3,0.2,Iris-setosa
210,7.2,3.6,6.1,2.5,Iris-virginica
169,6.2,2.2,4.5,1.5,Iris-versicolor
109,4.4,2.9,1.4,0.2,Iris-setosa
226,7.2,3.2,6.0,1.8,Iris-virginica
218,7.7,3.8,6.7,2.2,Iris-virginica
134,5.5,4.2,1.4,0.2,Iris-setosa
148,4.6,3.2,1.4,0.2,Iris-setosa
163,6.0,2.2,4.0,1.0,Iris-versicolor
214,5.7,2.5,5.0,2.0,Iris-virginica
193,5.8,2.6,4.0,1.2,Iris-versicolor
106,5.4,3.9,1.7,0.4,Iris-setosa
135,4.9,3.1,1.5,0.1,Iris-setosa
225,6.7,3.3,5.7,2.1,Iris-virginica
184,6.0,2.7,5.1,1.6,Iris-versicolor
146,4.8,3.0,1.4,0.3,Iris-setosa
152,6.4,3.2,4.5,1.5,Iris-versicolor
112,4.8,3.4,1.6,0.2,Iris-setosa
164,6.1,2.9,4.7,1.4,Iris-versicolor
150,5.0,3.3,1.4,0.2,Iris-setosa
124,5.1,3.3,1.7,0.5,Iris-setosa
105,5.0,3.6,1.4,0.2,Iris-setosa
140,5.1,3.4,1.5,0.2,Iris-setosa
235,6.1,2.6,5.6,1.4,Iris-virginica
157,6.3,3.3,4.7,1.6,Iris-versicolor
172,6.1,2.8,4.0,1.3,Iris-versicolor
199,5.1,2.5,3.0,1.1,Iris-versicolor
189,5.6,3.0,4.1,1.3,Iris-versicolor
236,7.7,3.0,6.1,2.3,Iris-virginica
242,6.9,3.1,5.1,2.3,Iris-virginica
186,6.0,3.4,4.5,1.6,Iris-versicolor
147,5.1,3.8,1.6,0.2,Iris-setosa
183,5.8,2.7,3.9,1.2,Iris-versicolor
113,4.8,3.0,1.4,0.1,Iris-setosa
167,5.6,3.0,4.5,1.5,Iris-versicolor
228,6.1,3.0,4.9,1.8,Iris-virginica
123,4.6,3.6,1.0,0.2,Iris-setosa
129,5.2,3.4,1.4,0.2,Iris-setosa
240,6.9,3.1,5.4,2.1,Iris-virginica
111,5.4,3.7,1.5,0.2,Iris-setosa
194,5.0,2.3,3.3,1.0,Iris-versicolor
212,6.4,2.7,5.3,1.9,Iris-virginica
175,6.4,2.9,4.3,1.3,Iris-versicolor
198,6.2,2.9,4.3,1.3,Iris-versicolor
182,5.5,2.4,3.7,1.0,Iris-versicolor
177,6.8,2.8,4.8,1.4,Iris-versicolor
216,6.4,3.2,5.3,2.3,Iris-virginica
132,5.4,3.4,1.5,0.4,Iris-setosa
